FechaHora,Operador,ShopOrder,PalletID,Serial,Resultado,Defecto
2025-06-04 09:23:48,62012565,000012479269,"('10014117102',)",K1045D1APC108564,PASA,
2025-06-04 09:24:36,62012565,000012479269,"('10014117102',)",K1045D1APC108969,PASA,
2025-06-04 09:25:04,62012565,000012479269,"('10014117102',)",K1045D1APC109096,PASA,
2025-06-04 09:25:48,62012565,000012479269,"('10014117102',)",K1045D1APC108546,PASA,
2025-06-04 09:26:16,62012565,000012479269,"('10014117102',)",K1045D1APC108570,PASA,
2025-06-04 09:27:00,62012565,000012479269,"('10014117102',)",K1045D1APC108584,PASA,
2025-06-04 09:27:43,62012565,000012479269,"('10014117102',)",K1045D1APC108893,PASA,
2025-06-04 09:28:39,62012565,000012479269,"('10014117102',)",K1045D1APC108432,PASA,
2025-06-04 09:29:13,62012565,000012479269,"('10014117102',)",K1045D1APC108427,PASA,
2025-06-04 09:29:56,62012565,000012479269,"('10014117102',)",K1045D1APC108424,PASA,
2025-06-04 09:30:25,62012565,000012479269,"('10014117102',)",K1045D1APC108445,PASA,
2025-06-04 09:31:21,62012565,000012479269,"('10014117102',)",K1045D1APC108428,PASA,
2025-06-04 09:31:47,62012565,000012479269,"('10014117102',)",K1045D1APC108451,PASA,
2025-06-04 09:47:57,62012565,000012479269,"('10014117102',)",K1045D1APC108425,PASA,
2025-06-04 09:48:36,62012565,000012479269,"('10014117102',)",K1045D1APC108420,PASA,
2025-06-04 09:49:12,62012565,000012479269,"('10014117102',)",K1045D1APC108431,PASA,
2025-06-04 09:50:04,62012565,000012479269,"('10014117102',)",K1045D1APC108573,PASA,
2025-06-04 09:50:50,62012565,000012479269,"('10014117102',)",K1045D1APC108421,PASA,
2025-06-04 09:51:27,62012565,000012479269,"('10014117102',)",K1045D1APC108418,PASA,
2025-06-04 09:52:17,62012565,000012479269,"('10014117102',)",K1045D1APC108430,PASA,
2025-06-04 09:52:59,62012565,000012479269,"('10014117102',)",K1045D1APC108441,PASA,
2025-06-04 09:54:02,62012565,000012479269,"('10014117102',)",K1045D1APC108440,PASA,
2025-06-04 09:54:35,62012565,000012479269,"('10014117102',)",K1045D1APC108422,PASA,
2025-06-04 09:55:57,62012565,000012479269,"('10014117102',)",K1045D1APC108953,FALLA,L20 - Dent - Cell
2025-06-04 09:56:28,62012565,000012479269,"('10014117102',)",K1045D1APC108961,PASA,
2025-06-04 10:26:49,62012565,000012479270,"('10014117234',)",K1045D25P1001107,PASA,
2025-06-04 10:27:16,62012565,000012479270,"('10014117234',)",K1045D25P1000155,PASA,
2025-06-04 10:27:53,62012565,000012479270,"('10014117234',)",K1045D25P1001106,PASA,
2025-06-04 11:23:47,62012565,000012479270,"('10014117234',)",K1045D25P1000182,PASA,
2025-06-04 11:24:35,62012565,000012479270,"('10014117234',)",K1045D25P1000995,PASA,
2025-06-04 11:25:06,62012565,000012479270,"('10014117234',)",K1045D25P1001339,PASA,
2025-06-04 11:25:53,62012565,000012479270,"('10014117234',)",K1045D25P1001034,PASA,
2025-06-04 11:26:18,62012565,000012479270,"('10014117234',)",K1045D25P1001332,PASA,
2025-06-04 11:26:57,62012565,000012479270,"('10014117234',)",K1045D25P1001170,PASA,
2025-06-04 11:27:22,62012565,000012479270,"('10014117234',)",K1045D25P1000177,PASA,
2025-06-04 11:28:19,62012565,000012479270,"('10014117234',)",K1045D25P1001196,PASA,
2025-06-04 11:30:02,62012565,000012479270,"('10014117234',)",K1045D25P1000158,PASA,
2025-06-04 11:30:49,62012565,000012479270,"('10014117234',)",K1045D25P1001137,PASA,
2025-06-04 11:31:20,62012565,000012479270,"('10014117234',)",K1045D25P1001324,PASA,
2025-06-04 11:32:04,62012565,000012479270,"('10014117234',)",K1045D25P1001130,PASA,
2025-06-04 11:32:45,62012565,000012479270,"('10014117234',)",K1045D25P1001298,PASA,
2025-06-04 11:33:38,62012565,000012479270,"('10014117234',)",K1045D25P1001132,PASA,
2025-06-04 11:34:09,62012565,000012479270,"('10014117234',)",K1045D25P1001109,PASA,
2025-06-04 11:35:00,62012565,000012479270,"('10014117234',)",K1045D25P1001142,PASA,
2025-06-04 11:35:23,62012565,000012479270,"('10014117234',)",K1045D25P1001144,PASA,
2025-06-04 11:36:31,62012565,000012479270,"('10014117234',)",K1045D25P1001136,PASA,
2025-06-04 11:37:03,62012565,000012479270,"('10014117234',)",K1045D25P1001143,PASA,
2025-06-04 11:37:40,62012565,000012479270,"('10014117234',)",K1045D25P1001174,PASA,
2025-06-04 11:38:14,62012565,000012479270,"('10014117234',)",K1045D25P1001158,PASA,
2025-06-04 11:39:15,62012565,000012479270,"('10014117234',)",K1045D25P1001171,PASA,
2025-06-04 11:39:43,62012565,000012479270,"('10014117234',)",K1045D25P1000816,PASA,
2025-06-04 11:43:55,62012565,000012479270,"('10014117234',)",K1045D25P1000329,PASA,
2025-06-04 11:44:24,62012565,000012479270,"('10014117234',)",K1045D25P1000326,PASA,
2025-06-04 11:46:19,62012565,000012479270,"('10014117234',)",K1045D25P1000240,PASA,
2025-06-04 11:47:10,62012565,000012479270,"('10014117234',)",K1045D25P1000248,PASA,
2025-06-04 11:48:14,62012565,000012479270,"('10014117234',)",K1045D25P1000333,PASA,
2025-06-04 11:48:56,62012565,000012479270,"('10014117234',)",K1045D25P1000315,PASA,
2025-06-04 11:50:32,62012565,000012479270,"('10014117234',)",K1045D25P1000236,PASA,
2025-06-04 11:50:57,62012565,000012479270,"('10014117234',)",K1045D25P1000251,PASA,
2025-06-04 11:51:36,62012565,000012479270,"('10014117234',)",K1045D25P1000323,PASA,
2025-06-04 11:51:56,62012565,000012479270,"('10014117234',)",K1045D25P1000313,PASA,
2025-06-04 11:52:41,62012565,000012479270,"('10014117234',)",K1045D25P1000237,PASA,
2025-06-04 11:53:37,62012565,000012479270,"('10014117234',)",K1045D25P1000696,PASA,
2025-06-04 11:54:14,62012565,000012479270,"('10014117234',)",K1045D25P1000706,PASA,
2025-06-04 11:54:39,62012565,000012479270,"('10014117234',)",K1045D25P1000808,PASA,
2025-06-04 11:55:23,62012565,000012479270,"('10014117234',)",K1045D25P1000330,PASA,
2025-06-04 11:55:47,62012565,000012479270,"('10014117234',)",K1045D25P1000687,PASA,
2025-06-04 11:56:32,62012565,000012479270,"('10014117234',)",K1045D25P1000796,PASA,
2025-06-04 11:57:22,62012565,000012479270,"('10014117234',)",K1045D25P1000690,PASA,
2025-06-04 11:58:25,62012565,000012479270,"('10014117234',)",K1045D25P1000820,PASA,
2025-06-04 11:59:14,62012565,000012479270,"('10014117234',)",K1045D25P1000241,PASA,
2025-06-04 11:59:54,62012565,000012479270,"('10014117234',)",K1045D25P1000252,PASA,
2025-06-04 12:00:21,62012565,000012479270,"('10014117234',)",K1045D25P1000750,PASA,
2025-06-04 12:01:11,62012565,000012479270,"('10014117234',)",K1045D25P1000728,PASA,
2025-06-04 12:01:43,62012565,000012479270,"('10014117234',)",K1045D25P1000320,PASA,
2025-06-04 12:02:31,62012565,000012479270,"('10014117234',)",K1045D25P1000348,PASA,
2025-06-04 12:03:03,62012565,000012479270,"('10014117234',)",K1045D25P1000729,PASA,
2025-06-04 12:07:57,62012565,000012479270,"('10014117234',)",K1045D25P1000006,PASA,
2025-06-04 12:09:45,62012565,000012479270,"('10014117234',)",K1045D25P1000209,PASA,
2025-06-04 12:10:27,62012565,000012479270,"('10014117234',)",K1045D25P1000676,PASA,
2025-06-04 12:11:23,62012565,000012479270,"('10014117234',)",K1045D25P1000015,PASA,
2025-06-04 12:11:54,62012565,000012479270,"('10014117234',)",K1045D25P1000662,PASA,
2025-06-04 12:12:14,62012565,000012479270,"('10014117234',)",K1045D25P1000245,PASA,
2025-06-04 12:13:12,62012565,000012479270,"('10014117234',)",K1045D25P1000672,PASA,
2025-06-04 12:13:33,62012565,000012479270,"('10014117234',)",K1045D24P1017746,PASA,
2025-06-04 12:14:25,62012565,000012479270,"('10014117234',)",K1045D25P1000670,PASA,
2025-06-04 12:14:49,62012565,000012479270,"('10014117234',)",K1045D25P1000681,PASA,
2025-06-04 12:17:51,62012565,000012479270,"('10014117234',)",K1045D25P1000661,PASA,
2025-06-04 12:18:42,62012565,000012479270,"('10014117234',)",K1045D25P1000659,PASA,
2025-06-04 12:19:27,62012565,000012479270,"('10014117234',)",K1045D25P1000663,PASA,
2025-06-04 12:19:53,62012565,000012479270,"('10014117234',)",K1045D25P1000683,PASA,
2025-06-04 12:20:37,62012565,000012479270,"('10014117234',)",K1045D25P1000667,PASA,
2025-06-04 12:21:04,62012565,000012479270,"('10014117234',)",K1045D24P1017676,PASA,
2025-06-04 12:21:54,62012565,000012479270,"('10014117234',)",K1045D24P1017632,PASA,
2025-06-04 12:22:24,62012565,000012479270,"('10014117234',)",K1045D24P1017638,PASA,
2025-06-04 12:23:11,62012565,000012479270,"('10014117234',)",K1045D25P1005907,PASA,
2025-06-04 12:23:35,62012565,000012479270,"('10014117234',)",K1045D24P1017311,PASA,
2025-06-04 12:24:22,62012565,000012479270,"('10014117234',)",K1045D25P1000648,PASA,
2025-06-04 12:24:53,62012565,000012479270,"('10014117234',)",K1045D25P1000652,PASA,
2025-06-04 12:25:33,62012565,000012479270,"('10014117234',)",K1045D25P1000673,PASA,
2025-06-04 12:25:54,62012565,000012479270,"('10014117234',)",K1045D25P1000665,PASA,
2025-06-04 12:26:32,62012565,000012479270,"('10014117234',)",K1045D25P1000660,PASA,
2025-06-04 12:26:56,62012565,000012479270,"('10014117234',)",K1045D25P1000671,PASA,
2025-06-04 12:31:34,62012565,000012479270,"('10014117234',)",K1045D25P1006214,PASA,
2025-06-04 12:32:01,62012565,000012479270,"('10014117234',)",K1045D25P1005899,PASA,
2025-06-04 12:32:54,62012565,000012479270,"('10014117234',)",K1045D25P1006174,PASA,
2025-06-04 12:33:18,62012565,000012479270,"('10014117234',)",K1045D25P1005840,PASA,
2025-06-04 12:35:42,62012565,000012479270,"('10014117234',)",K1045D25P1005865,PASA,
2025-06-04 12:36:08,62012565,000012479270,"('10014117234',)",K1045D25P1006198,PASA,
2025-06-04 12:37:08,62012565,000012479270,"('10014117234',)",K1045D25P1006182,PASA,
2025-06-04 12:37:32,62012565,000012479270,"('10014117234',)",K1045D25P1005906,PASA,
2025-06-04 12:38:29,62012565,000012479270,"('10014117234',)",K1045D25P1006316,PASA,
2025-06-04 12:39:06,62012565,000012479270,"('10014117234',)",K1045D25P1006171,PASA,
2025-06-04 12:40:25,62012565,000012479270,"('10014117234',)",K1045D25P1006313,PASA,
2025-06-04 12:40:52,62012565,000012479270,"('10014117234',)",K1045D24P1017635,PASA,
2025-06-04 12:41:46,62012565,000012479270,"('10014117234',)",K1045D25P1006280,PASA,
2025-06-04 12:42:33,62012565,000012479270,"('10014117234',)",K1045D25P1005868,PASA,
2025-06-04 12:43:35,62012565,000012479270,"('10014117234',)",K1045D25P1006296,PASA,
2025-06-04 12:44:13,62012565,000012479270,"('10014117234',)",K1045D25P1006321,PASA,
2025-06-04 12:45:06,62012565,000012479270,"('10014117234',)",K1045D25P1006292,PASA,
2025-06-04 12:45:40,62012565,000012479270,"('10014117234',)",K1045D25P1005855,PASA,
2025-06-04 12:46:37,62012565,000012479270,"('10014117234',)",K1045D25P1006285,PASA,
2025-06-04 12:47:08,62012565,000012479270,"('10014117234',)",K1045D25P1006272,PASA,
2025-06-04 12:48:23,62012565,000012479270,"('10014117234',)",K1045D25P1006305,PASA,
